review,rating,date,bank,source,cleaned_review,theme_cluster
great app,5,2025-04-03,Combanketh,Google Play,great app,4
best banking App,4,2025-04-03,Combanketh,Google Play,good banking app,4
satisfied,5,2025-04-03,Combanketh,Google Play,satisfy,4
this app is very necessary app many people found it,5,2025-04-03,Combanketh,Google Play,app necessary app people find,4
cbe very active Bank I'm using CBE app very very satisfaction,5,2025-04-03,Combanketh,Google Play,cbe active bank cbe app satisfaction,4
It made life alot easier. I cant even imagine having to make all those transactions in person. So this app was crucial for me. Very good app. well done.,5,2025-04-03,Combanketh,Google Play,life alot easy imagine have transaction person app crucial good app,4
excellent,5,2025-04-03,Combanketh,Google Play,excellent,4
perfect,5,2025-04-03,Combanketh,Google Play,perfect,4
thankyou,5,2025-04-02,Combanketh,Google Play,thankyou,4
I Like it,5,2025-04-02,Combanketh,Google Play,like,4
ok,5,2025-04-02,Combanketh,Google Play,,4
"I don't understand the reason, why I need to disable developer options to access the app, it has no security risks nor does it hinder the app's functionalities. This goes out to the dev, I hope your life is filled with inconveniences.",1,2025-04-02,Combanketh,Google Play,understand reason need disable developer option access app security risk hinder app functionality go dev hope life fill inconvenience,4
smart app,5,2025-04-02,Combanketh,Google Play,smart app,4
isin ga'a,2,2025-04-02,Combanketh,Google Play,isin,4
easy to use,5,2025-04-02,Combanketh,Google Play,easy use,4
it's great,5,2025-04-02,Combanketh,Google Play,great,4
very good app and stars faction with work,5,2025-04-02,Combanketh,Google Play,good app star faction work,4
It is excelent,5,2025-04-01,Combanketh,Google Play,excelent,4
Smart,5,2025-04-01,Combanketh,Google Play,smart,4
በየወሩ አፕደት እየጠየቀኝ ነው ለነገሩ ብር ስሌለኝ ይሆናል እና ምን ለማለት ፈልገ መሰላቹ ወላህ ቼግሮኛል 🥺🥺🥺,3,2025-04-01,Combanketh,Google Play,በየወሩ አፕደት እየጠየቀኝ ለነገሩ ስሌለኝ ይሆናል ለማለት ፈልገ መሰላቹ ወላህ ቼግሮኛል,4
very interesting app,5,2025-04-01,Combanketh,Google Play,interesting app,4
i like it,5,2025-04-01,Combanketh,Google Play,like,4
wow.......cbe.....keep it up.....!!!!!!,5,2025-04-01,Combanketh,Google Play,wow cbe,4
ጊዜን ቆጣቢ እና ህይወትን ቀለል ከሚያደርጉ ኢትዬጲያ ካሉ ፋይናንስ አፕልኬሽኖች ሁሉ ይሄ ይለያል,5,2025-04-01,Combanketh,Google Play,ጊዜን ቆጣቢ ህይወትን ቀለል ከሚያደርጉ ኢትዬጲያ ፋይናንስ አፕልኬሽኖች ይለያል,4
Excellent🙏app,5,2025-04-01,Combanketh,Google Play,excellent app,4
the most useful,5,2025-04-01,Combanketh,Google Play,useful,4
I am more satisfied in this app . More sure you have to secure.,4,2025-04-01,Combanketh,Google Play,satisfied app sure secure,4
Easy to use,5,2025-04-01,Combanketh,Google Play,easy use,4
"very good, but sometimes NUR CBE comes without my consent. even if I choose locked, it appears",4,2025-04-01,Combanketh,Google Play,good nur cbe come consent choose lock appear,4
Excellent !!!,5,2025-04-01,Combanketh,Google Play,excellent,4
always we relay on,5,2025-04-01,Combanketh,Google Play,relay,4
I'm lucky to have this🙏 thank you CBE.,5,2025-04-01,Combanketh,Google Play,lucky thank cbe,4
it's need more improvement like Tellbirr.,4,2025-04-01,Combanketh,Google Play,need improvement like tellbirr,4
goode app,5,2025-04-01,Combanketh,Google Play,goode app,4
a very nice app.👍👍👍,5,2025-04-01,Combanketh,Google Play,nice app,4
safe easy & fast,5,2025-04-01,Combanketh,Google Play,safe easy fast,4
perfect,5,2025-04-01,Combanketh,Google Play,perfect,4
it's good app,5,2025-04-01,Combanketh,Google Play,good app,3
nice,5,2025-04-01,Combanketh,Google Play,nice,4
good app,5,2025-04-01,Combanketh,Google Play,good app,3
It is veary useful app but screen shout was impossible .solve this problem,5,2025-04-01,Combanketh,Google Play,veary useful app screen shout impossible problem,4
ጥሩ ነው,5,2025-04-01,Combanketh,Google Play,,4
እጅግ በጣም ጥሩ አፕ,5,2025-04-01,Combanketh,Google Play,እጅግ በጣም,4
good,5,2025-04-01,Combanketh,Google Play,good,3
በጣም ሃሪፍ ነው ግን ብር በሚተላለፍበት ወቅት ተቀንሷል ይላል እላፊ መልክቱ ይደርሳል ግን አይቀንስም,5,2025-04-01,Combanketh,Google Play,በጣም ሃሪፍ በሚተላለፍበት ወቅት ተቀንሷል ይላል እላፊ መልክቱ ይደርሳል አይቀንስም,4
suitable app,4,2025-04-01,Combanketh,Google Play,suitable app,4
Dear cbe this app is not comparable with 21century and pls try to solve it.💀💀💀,1,2025-04-01,Combanketh,Google Play,dear cbe app comparable pls try solve,4
Good,5,2025-04-01,Combanketh,Google Play,good,3
nice app,5,2025-04-01,Combanketh,Google Play,nice app,4
best transaction method of financial,5,2025-04-01,Combanketh,Google Play,good transaction method financial,4
#CBE is Now going to on the right Pathway/track/!! Thank you CBE one step ahead on payment platform app!!,5,2025-04-01,Combanketh,Google Play,cbe go right pathway thank cbe step ahead payment platform app,4
It literarily don't work at all,4,2025-04-01,Combanketh,Google Play,literarily work,4
good give us plus,5,2025-04-01,Combanketh,Google Play,good plus,4
"Very good application. However, I have one functionality recommendation. What if you let the app transfer money to any telebirr account as for MPESA? By the way, I am not the only one to ask this. Thank you!",4,2025-04-01,Combanketh,Google Play,good application functionality recommendation let app transfer money telebirr account mpesa way ask thank,2
before update it was able to screenshot while after update I can't able to screenshot the transfere details,4,2025-04-01,Combanketh,Google Play,update able screenshot update able screenshot transfere detail,4
Tnc Cbe,5,2025-04-01,Combanketh,Google Play,tnc cbe,4
it is good app. But you have integrate cbe with cbe birr. to allow cardless withdrawal directly from our accout!,4,2025-03-31,Combanketh,Google Play,good app integrate cbe cbe birr allow cardless withdrawal directly accout,4
great apps,5,2025-03-31,Combanketh,Google Play,great app,4
Excellent,5,2025-03-31,Combanketh,Google Play,excellent,4
Great app!,4,2025-03-31,Combanketh,Google Play,great app,4
nice,5,2025-03-31,Combanketh,Google Play,nice,4
CBE,5,2025-03-31,Combanketh,Google Play,cbe,4
very good 👍 👏,5,2025-03-31,Combanketh,Google Play,good,3
great when it works,5,2025-03-31,Combanketh,Google Play,great work,4
"the app is very good, but why screenshots is impossible?",5,2025-03-31,Combanketh,Google Play,app good screenshot impossible,4
excellent match application,5,2025-03-31,Combanketh,Google Play,excellent match application,4
very good,5,2025-03-31,Combanketh,Google Play,good,3
best app,5,2025-03-31,Combanketh,Google Play,good app,3
The Best app😍😍😍,5,2025-03-31,Combanketh,Google Play,good app,3
excellent app,5,2025-03-31,Combanketh,Google Play,excellent app,4
easy to use and user friendly,5,2025-03-31,Combanketh,Google Play,easy use user friendly,4
good,5,2025-03-31,Combanketh,Google Play,good,3
very nice,5,2025-03-31,Combanketh,Google Play,nice,4
አሪፍ ነው በተለይ የአሻራ ደህነቱ መረጋገጡ ተመችቶኛል,3,2025-03-31,Combanketh,Google Play,አሪፍ በተለይ የአሻራ ደህነቱ መረጋገጡ ተመችቶኛል,4
well software,5,2025-03-31,Combanketh,Google Play,software,4
ጥሩ ነው አንዳንዴ ስታክ ቢያደርግም,4,2025-03-31,Combanketh,Google Play,አንዳንዴ ስታክ ቢያደርግም,4
CBE very good apps,5,2025-03-31,Combanketh,Google Play,cbe good app,4
"This application fast, secure and more convenient. Thanks CBE",5,2025-03-31,Combanketh,Google Play,application fast secure convenient thank cbe,4
excellent service,5,2025-03-31,Combanketh,Google Play,excellent service,4
it's best,5,2025-03-31,Combanketh,Google Play,good,3
Why didn't you display cash transactions and bank statement in the mobile banking app?,4,2025-03-31,Combanketh,Google Play,display cash transaction bank statement mobile banking app,4
Amazing app,5,2025-03-31,Combanketh,Google Play,amazing app,4
our legitimate bank,4,2025-03-31,Combanketh,Google Play,legitimate bank,4
Ever and never seen this kind of app I proud my CBE,5,2025-03-31,Combanketh,Google Play,see kind app proud cbe,4
very good and safe for me!,5,2025-03-31,Combanketh,Google Play,good safe,4
it is best bank,5,2025-03-31,Combanketh,Google Play,good bank,4
"very good, but sometimes....",4,2025-03-31,Combanketh,Google Play,good,3
it's not working,3,2025-06-05,boa,Google Play,work,4
"Hello, I’m facing a problem with the BOA Mobile app. Every time I enter my phone number and password, the app crashes and shows an error that says “BoaMobile closed because this app has a bug.” I tried updating, reinstalling, and clearing cache, but nothing worked. Please fix this bug in the next update. I really need access to my account. Thank you.",1,2025-06-03,boa,Google Play,hello face problem boa mobile app time enter phone number password app crash show error say boamobile close app bug try update reinstall clear cache work fix bug update need access account thank,4
exceptional,5,2025-06-03,boa,Google Play,exceptional,4
BoA Mobile good bank,5,2025-06-02,boa,Google Play,boa mobile good bank,4
this is worest app 24/7 loading,1,2025-06-01,boa,Google Play,wor app loading,4
This App is not interest for Android phone Please update it .,1,2025-06-01,boa,Google Play,app interest android phone update,4
BoA system is confartable,5,2025-06-01,boa,Google Play,boa system confartable,4
very nice Abyssinia bank is choice all,5,2025-05-31,boa,Google Play,nice abyssinia bank choice,4
"this app, for me , is a waste of time. It doesn't work . I can't even long in, and it really piss me off. FIX THE PROBLEM",1,2025-05-27,boa,Google Play,app waste time work long piss fix problem,4
Good service.,3,2025-05-25,boa,Google Play,good service,3
the app crush frequently,1,2025-05-24,boa,Google Play,app crush frequently,4
good,5,2025-05-22,boa,Google Play,good,3
You guys keeps getting worst,1,2025-05-22,boa,Google Play,guy keep get bad,4
good,5,2025-05-21,boa,Google Play,good,3
"This app is a joke. It crashes more than it works, takes forever to load, and half the features are just decorative at this point. Can’t log in, can’t transfer money, can’t even check my balance without it bugging out. To the developer: Are you actually trying to make this work, or is this some kind of social experiment to test our patience? Did you build this in your sleep? Because it definitely looks like it. If this is your idea of a functional app, maybe consider a different career path🙏",1,2025-05-21,boa,Google Play,app joke crash work take forever load half feature decorative point log transfer money check balance bug developer actually try work kind social experiment test patience build sleep definitely look like idea functional app maybe consider different career path,4
BoA,2,2025-05-20,boa,Google Play,boa,4
good,5,2025-05-20,boa,Google Play,good,3
but not opening on android,4,2025-05-19,boa,Google Play,open android,4
Worst App ever. Totally unreliable. And it didn't work at all for the last 4 months.,1,2025-05-18,boa,Google Play,bad app totally unreliable work month,1
amazing,5,2025-05-18,boa,Google Play,amazing,4
excellent app,4,2025-05-16,boa,Google Play,excellent app,4
excellent,5,2025-05-15,boa,Google Play,excellent,4
ሞላዬ ከበደ,5,2025-05-14,boa,Google Play,ሞላዬ ከበደ,4
"this app does no work on Samsung a51, it just gives a preview of the logo",1,2025-05-11,boa,Google Play,app work samsung give preview logo,4
nice,5,2025-05-10,boa,Google Play,nice,4
"i entered incorrect security question by mistake boa app lock pin forever, why is there no other options? ?? i contacted different branchs more then 4times but they didn't able to solve this issue .",5,2025-05-10,boa,Google Play,enter incorrect security question mistake boa app lock pin forever option contact different branch able solve issue,4
Best app,5,2025-05-09,boa,Google Play,good app,3
liking this application good 👍,5,2025-05-07,boa,Google Play,like application good,4
"This app future is good, but there is problems with apps to reset and activate it, which is difficult even to the branch staffs, and it takes too long times to active at the branch plus most of the time high expected failure of activation after process at the counter and OTP sent not work",1,2025-05-06,boa,Google Play,app future good problem app reset activate difficult branch staff take long time active branch plus time high expect failure activation process counter otp sent work,4
good,5,2025-05-06,boa,Google Play,good,3
good,5,2025-05-02,boa,Google Play,good,3
good,4,2025-04-30,boa,Google Play,good,3
wow,5,2025-04-28,boa,Google Play,wow,4
it's really good 👍,5,2025-04-23,boa,Google Play,good,3
Bad app . it stuck when you open and noting WORKS.,1,2025-04-23,boa,Google Play,bad app stick open note work,1
"the app isn't working after it asked me the password it starts loading, but it doesn't open",3,2025-04-20,boa,Google Play,app work ask password start load open,4
Best,2,2025-04-19,boa,Google Play,well,4
It keeps showing this pop up to turn off developer options even tho it's off! I had to turn on and then off to make it work! This is a horrible experience and needs a fix asap! Plus kinda slow.,1,2025-04-19,boa,Google Play,keep show pop turn developer option tho turn work horrible experience need fix asap plus kinda slow,4
yideg,1,2025-04-18,boa,Google Play,yideg,4
አይከፍትም እኮ,1,2025-04-17,boa,Google Play,አይከፍትም,4
great boa,5,2025-04-10,boa,Google Play,great boa,4
Best,5,2025-04-10,boa,Google Play,well,4
boa of mobile backing,5,2025-04-09,boa,Google Play,boa mobile backing,4
nice,5,2025-04-09,boa,Google Play,nice,4
faster bank of Abissinya,5,2025-04-08,boa,Google Play,fast bank abissinya,4
i would have given it a lower if it was possible because it crush so much and it take the bank so long to fix the bug,1,2025-04-08,boa,Google Play,give low possible crush bank long fix bug,4
it just doesn't work...so frustrating,1,2025-04-07,boa,Google Play,work frustrating,4
like,5,2025-04-06,boa,Google Play,like,4
it's not work correctly... you must have update it,1,2025-04-06,boa,Google Play,work correctly update,4
"the app gets a considerable improvements like language , QR scanner and unlimited transfers survice. but BOA Please do alot on its fastness and convenient when we login and making a transactions.",5,2025-04-04,boa,Google Play,app get considerable improvement like language scanner unlimited transfer survice boa alot fastness convenient login make transaction,0
after i typed in my password it says successfully logged out ...and goes back to the first page,2,2025-04-04,boa,Google Play,type password say successfully log go page,4
good but they don't update enough don't add new things,3,2025-04-04,boa,Google Play,good update add new thing,4
very good,5,2025-04-03,boa,Google Play,good,3
thank you,5,2025-04-02,boa,Google Play,thank,4
it doesn't work period z slowest mobile banking ever i would rather use *815#,1,2025-04-01,boa,Google Play,work period slow mobile banking use,4
"after activated the application it not allowed to sign , automatically it is turn off In my phone, why ?",1,2025-03-31,boa,Google Play,activate application allow sign automatically turn phone,4
good application,5,2025-03-30,boa,Google Play,good application,4
this version is not working for me I cannot even buy card. I cannot send money,1,2025-03-30,boa,Google Play,version work buy card send money,2
"It can't actively on initialization, it says incorrect OTP getting the exact OTP",1,2025-03-29,boa,Google Play,actively initialization say incorrect otp get exact otp,4
always problematic hardly works,1,2025-03-26,boa,Google Play,problematic hardly work,4
considering the fact the bank is huge this app really bad you could do better,1,2025-03-25,boa,Google Play,consider fact bank huge app bad well,4
best app,5,2025-03-25,boa,Google Play,good app,3
very good,5,2025-03-25,boa,Google Play,good,3
"worst app and Bank ever u be ashamed, scammer",1,2025-03-24,boa,Google Play,bad app bank ashamed scammer,1
great BoA,5,2025-03-22,boa,Google Play,great boa,4
best,5,2025-03-21,boa,Google Play,well,4
i have went to the bank so many times because i couldn't make any transaction i can only see my balance nothing else so what is the point of having mobile banking if i can't make any transaction with it please work in that,1,2025-03-21,boa,Google Play,go bank time transaction balance point have mobile banking transaction work,4
good,5,2025-03-21,boa,Google Play,good,3
good,5,2025-03-19,boa,Google Play,good,3
there is no speed,1,2025-03-19,boa,Google Play,speed,4
"For anyone who wants to download it, just don't!!!",1,2025-03-19,boa,Google Play,want download,4
wonderful,5,2025-03-19,boa,Google Play,wonderful,4
all worck,5,2025-03-19,boa,Google Play,worck,4
Best app,5,2025-03-17,boa,Google Play,good app,3
Loved it,5,2025-03-14,boa,Google Play,love,4
Wow,1,2025-03-14,boa,Google Play,wow,4
"Edit: New bug, app not letting me type in my otp codes. Shameful Why does this app not allow me to use it while having developer options on? Did y'all consider that I might, perhaps, be an actual developer? Why am I expected to toggle the option on and off just to bank (restarting my phone when I do)? Why is the message labled as somthing that will ""smoothen"" the experience? This is like the most ""security consultant"" thing to implement in an app. Please invest in actual security, not this mess.",1,2025-03-12,boa,Google Play,edit new bug app let type otp code shameful app allow use have developer option consider actual developer expect toggle option bank restart phone message lable somthe smoothen experience like security consultant thing implement app invest actual security mess,4
Improved to be the best,5,2025-03-11,boa,Google Play,improve good,4
BoA,5,2025-03-11,boa,Google Play,boa,4
"Decent, but there problems sometimes it says error When i transfer money but infact it transferred because of this bug i transferred 2 times instead of 1 and also we can't transfer money to others telebirr acc we only can to our self BOE Dev fix this !!!",3,2025-03-11,boa,Google Play,decent problem say error transfer money infact transfer bug transfer time instead transfer money telebirr acc self boe dev fix,2
BoA Greqt Ethiopian bank.,5,2025-03-11,boa,Google Play,boa greqt ethiopian bank,4
"The bug is still there,the app crashes every time i try to log in, especially in old phones like my Galaxy A32",1,2025-03-10,boa,Google Play,bug app crash time try log especially old phone like galaxy,4
Almost better compared to cbe where it is not qualified for,4,2025-03-09,boa,Google Play,well compare cbe qualified,4
what awesome apps. it is very simple to use and more much important apps.,5,2025-03-09,boa,Google Play,awesome app simple use important app,4
Wonderfull app,5,2025-03-08,boa,Google Play,wonderfull app,4
i can't use this app why?,5,2025-03-07,boa,Google Play,use app,4
Worst mobile banking app I ever experienced I was blaming other apps but comparing with this they're too much better!!!! It clashes it takes much longer time to login while loading in short it's a complete of trash,1,2025-03-06,boa,Google Play,bad mobile banking app experience blame app compare well clash take long time login load short complete trash,4
Wow,4,2025-03-05,boa,Google Play,wow,4
bro the worst app made by human kind!! as a software engineer it make me so sad seeing enterprise as big as BOA make apps like this. it is a disgrace for our country!!,1,2025-03-05,boa,Google Play,bro bad app human kind software engineer sad see enterprise big boa app like disgrace country,4
AGA B Girja Miss language of admin Afaan oromo & other Itoophiyaa languages,1,2025-03-04,boa,Google Play,aga girja miss language admin afaan oromo itoophiyaa language,4
Good app,5,2025-03-03,boa,Google Play,good app,3
"I downloaded the app for the first time while reading other customers reviews and as soon as i installed and opened the app it closes back automatically, what unserious bank, now i uninstalled the app immediately",1,2025-03-03,boa,Google Play,download app time read customer review soon instal open app close automatically unserious bank uninstalle app immediately,4
It has good features but sometimes it doesn't work...0,1,2025-03-02,boa,Google Play,good feature work,4
Very poor proformance,1,2025-03-01,boa,Google Play,poor proformance,4
It's not opening. Really frustrating,1,2025-03-01,boa,Google Play,open frustrate,4
Verry Amazing App from all IB,5,2025-03-01,boa,Google Play,verry amazing app,4
Not working on this days,1,2025-02-26,boa,Google Play,work day,4
Thank you BoA,5,2025-02-23,boa,Google Play,thank boa,4
best banking app in the wworld,5,2025-02-22,boa,Google Play,good banking app wworld,4
Nice app and it's easy to use,5,2025-02-21,boa,Google Play,nice app easy use,4
"please add language in the apps setting(amharic afan oromo, tigniya,and others) sometimes bank to bank transfer is not available through time and even if if it is available not reachable…it is serious issue!",1,2025-02-15,boa,Google Play,add language app afan oromo tigniya bank bank transfer available time available reachable issue,4
This is help full i like ittttt,5,2025-02-14,boa,Google Play,help like ittttt,4
The is not functional at all?,2,2025-02-12,boa,Google Play,functional,4
Best bank,5,2025-02-08,boa,Google Play,good bank,4
Make it easy and convienient to use and perfect for all to high prefrence and choice.,3,2025-02-07,boa,Google Play,easy convienient use perfect high prefrence choice,4
good,5,2025-02-05,boa,Google Play,good,3
🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹👍👍👍👍👍👍👍,5,2025-02-04,boa,Google Play,,4
I have been using this app for two years.It is amazing.,5,2025-02-01,boa,Google Play,app amazing,4
Good 👍,5,2025-01-31,boa,Google Play,good,3
Sad experience,1,2025-01-30,boa,Google Play,sad experience,4
Always do update and that is annoying,3,2025-01-27,boa,Google Play,update annoying,4
"Best app, somehow waiting a few minutes",5,2025-01-23,boa,Google Play,good app wait minute,4
I can't dijitalize my atm in the apollo app on my phone,1,2025-01-22,boa,Google Play,dijitalize atm apollo app phone,4
Whenever I try to sign in app close please fixed it out,2,2025-01-21,boa,Google Play,try sign app close fix,4
Beter,5,2025-01-21,boa,Google Play,beter,4
Boa,4,2025-01-18,boa,Google Play,boa,4
በጣም የሚያስጠላ አፕ በጣም የወረደ ዜሮ ነው የምሰጠው ዘሮ It's not App it's very slow ehhhh. Why don't you upgrade the app???? It's always zero,1,2025-01-18,boa,Google Play,በጣም የሚያስጠላ በጣም የወረደ የምሰጠው app slow ehhhh upgrade app zero,4
Aadan Axmed Barkhadle,5,2025-01-17,boa,Google Play,aadan axme barkhadle,4
😡😡😡🤬🤬🤬,1,2025-01-16,boa,Google Play,,4
Horrible customer service and app crashes Horrible!!,1,2025-01-15,boa,Google Play,horrible customer service app crash horrible,4
I love it,5,2025-01-14,boa,Google Play,love,4
Best,5,2025-01-14,boa,Google Play,well,4
It keeps asking me to turn off developer mode even when dev mode is off. Couldn't use it.,1,2025-01-13,boa,Google Play,keep ask turn developer mode dev mode use,4
Good🙏,5,2025-01-12,boa,Google Play,good,3
Like to much,5,2025-01-11,boa,Google Play,like,4
Thank you,5,2025-01-10,boa,Google Play,thank,4
Perfect,5,2025-01-09,boa,Google Play,perfect,4
The best of best,5,2025-01-09,boa,Google Play,good good,3
I was using this app for long time it amazing user friendly UI but the i can't found for get pin button in the app,3,2025-01-07,boa,Google Play,app long time amazing user friendly find pin button app,4
Boa,5,2025-01-06,boa,Google Play,boa,4
Great 👍,5,2025-01-04,boa,Google Play,great,4
Fast and suitable for the customers.,5,2025-01-04,boa,Google Play,fast suitable customer,4
Good 👍,5,2025-01-03,boa,Google Play,good,3
Good app and helpful,5,2025-01-03,boa,Google Play,good app helpful,4
"I will give only one star, because it faced with multiple of problems. 1. The app is not as fast as the other banks App, for e.g like CBE 2. The App asks repeatedly to switch off developer options, even if it is switched off. 3. Bank of Abyssinia's services are interesting, but they ignored the issues on the App service. 4. Most customers gave a complain on the App, but no one accept their complain to fix the issue. 5. Lastly, I will not recommend the App unless the issue has been solved ASAP!!",1,2025-01-03,boa,Google Play,star face multiple problem app fast bank app like cbe app ask repeatedly switch developer option switch bank abyssinia service interesting ignore issue app service customer give complain app accept complain fix issue lastly recommend app issue solve asap,4
By assessing this you can tell Abyssinia bank has no idea what mobile banking is ?,1,2025-01-02,boa,Google Play,assess tell abyssinia bank idea mobile banking,4
It doesn't work at all.,2,2025-01-02,boa,Google Play,work,4
this app is not available,1,2025-01-02,boa,Google Play,app available,4
Best,5,2025-01-01,boa,Google Play,well,4
Wow what amazing,5,2024-12-30,boa,Google Play,wow amazing,4
love it,5,2024-12-30,boa,Google Play,love,4
በጣም መሻሻል አለበት....... ለ ባንኩ ማይመጥን መተግበርያ ነው ::,2,2024-12-30,boa,Google Play,በጣም መሻሻል አለበት ባንኩ ማይመጥን መተግበርያ,4
Lemn embi yilal??,5,2024-12-30,boa,Google Play,lemn embi yilal,4
Good,5,2024-12-30,boa,Google Play,good,3
It's useless app downgraded.,1,2024-12-29,boa,Google Play,useless app downgrade,4
Why is not letting me access my account. The whole point of this app is for me to gey access to my account without physically being at the bank. I would give it a zero but a one will suffice to get my point accross.,1,2024-12-27,boa,Google Play,let access account point app gey access account physically bank zero suffice point accross,4
Nice,5,2024-12-26,boa,Google Play,nice,4
When are you going to get rid of this and have a real app that works? By far the worst mobile banking app.,1,2024-12-24,boa,Google Play,go rid real app work far bad mobile banking app,4
አይሰራም ሼም ነው፤,1,2024-12-23,boa,Google Play,አይሰራም,4
Not that much bad,3,2024-12-22,boa,Google Play,bad,1
Fine,5,2024-12-21,boa,Google Play,fine,4
The dirtiest application ever seen...,1,2024-12-20,boa,Google Play,dirty application see,4
Nic ap,5,2024-12-19,boa,Google Play,nic,4
The forest app ever,1,2024-12-19,boa,Google Play,forest app,4
"I love BoA more than anyone but they are cursed when it comed to mobile banking. Even though this ine is hetter it still s*cks! It will ask me to turn off developer options other wise it won't work! I use CBE, Awash birr, tekebirr, Dashen bank and others but non of them asked me this, why only BoA? Please improve your mobile banking, be competitive!",1,2024-12-19,boa,Google Play,love boa curse come mobile banking ine hetter ask turn developer option wise work use cbe awash birr tekebirr dashen bank non ask boa improve mobile banking competitive,4
Bank of abissena,1,2024-12-17,boa,Google Play,bank abissena,4
Good,3,2024-12-16,boa,Google Play,good,3
"Easy and sooo simple to use it, also its easy to stole someones money using the app",3,2024-12-16,boa,Google Play,easy sooo simple use easy stole someone money app,4
GOOD,5,2024-12-15,boa,Google Play,good,3
The worst banking app ever. Never works!,1,2024-12-14,boa,Google Play,bad banking app work,4
Poorly functioning app,3,2024-12-13,boa,Google Play,poorly function app,4
Very nice,5,2024-12-13,boa,Google Play,nice,4
Your system is the worst you should do better😡😡😡😡😡😡,2,2024-12-11,boa,Google Play,system bad well,4
It has been a while since you guys started giving the mobile app service but still couldn't get it to work. I'm sure you know that it doesn't work already but not sure if you're lazy or incompetent to fix it. You are losing business because of this. Complacency will have consequences.,1,2024-12-10,boa,Google Play,guy start give mobile app service work sure know work sure lazy incompetent fix lose business complacency consequence,4
"This is the best app; many features are awesome, but it should work without the need to turn off the developer options. I'm tired of having to constantly switch the developer options off and on. I've been expressing my struggles about this. I have precious settings enabled in the developer options, and to open the App Boa app, I have to turn them off. Please help us, Abyssinia Bank. I hope you can provide an update soon.",4,2024-12-08,boa,Google Play,good app feature awesome work need turn developer option tired have constantly switch developer option express struggle precious setting enable developer option open app boa app turn help abyssinia bank hope provide update soon,4
"I’m giving this app one star because there are no options below that. My experience has been incredibly frustrating due to the extremely long loading times, and the app even closes automatically at times. People choose mobile banking for its convenience, but this app is far too time-consuming, making it the worst I’ve used. I hope improvements are made to enhance the user experience.",1,2024-12-07,boa,Google Play,give app star option experience incredibly frustrating extremely long loading time app close automatically time people choose mobile banking convenience app far time consume make bad hope improvement enhance user experience,4
Nice,5,2024-12-07,boa,Google Play,nice,4
Very unprofessional and mischievous bank in my opinion. I have had several occasions but recently I used Abyssinia Card to withdraw money and it was deducted from my account but despite reporting several times they said they are processing it but I learned yesterday that since it has been 3 months the bank has decided to include it in their income. How absurd. If you can avoid this bank.,1,2024-12-06,boa,Google Play,unprofessional mischievous bank opinion occasion recently abyssinia card withdraw money deduct account despite report time say process learn yesterday month bank decide include income absurd avoid bank,4
It doesn't work on my 2 devices A05 and A34 😡,1,2024-12-02,boa,Google Play,work device,4
It's better to say I don't use boa rather than pulling your phone out and opening this app,1,2024-12-01,boa,Google Play,well use boa pull phone open app,4
My attention is very important because it will be the most difficult time for me,5,2024-11-30,boa,Google Play,attention important difficult time,4
"I have a worst experience while using this mobile application through out the year. Most of the time it fails to ""Login"" or automatically closed the app. And also it takes so much loading time (5 minutes +) trying to access the internal services. Sometimes also while transferring within and to other bank also fails. So, BOA please fix your app.",1,2024-11-29,boa,Google Play,bad experience mobile application year time fail login automatically close app take loading time minute try access internal service transfer bank fail boa fix app,4
I don't know why but your apps start out great then all of a sudden don't work🤷‍♀️,1,2024-11-28,boa,Google Play,know app start great sudden work,4
This application is losing major factions on a daily basis. I can count how many times I have used this app; it is completely useless and disappointing if I am not going to use it in times of need then I don't see the point.,1,2024-11-28,boa,Google Play,application lose major faction daily basis count time app completely useless disappointing go use time need point,4
exellent digital transaction of money,5,2024-11-27,boa,Google Play,exellent digital transaction money,4
The latest update has stopped android 9 phones not to open this App. Never work properly since i started using it.,1,2024-11-26,boa,Google Play,late update stop android phone open app work properly start,4
Best,5,2024-11-25,boa,Google Play,well,4
Great,5,2024-11-25,boa,Google Play,great,4
👏👏👏,5,2024-11-24,boa,Google Play,,4
Money,5,2024-11-24,boa,Google Play,money,2
It needs more improvment,2,2024-11-24,boa,Google Play,need improvment,4
Hey Google,5,2024-11-21,boa,Google Play,hey google,4
Good app,5,2024-11-21,boa,Google Play,good app,3
ab,3,2024-11-20,boa,Google Play,,4
Ademtahir,5,2024-11-20,boa,Google Play,ademtahir,4
✌️✌️,5,2024-11-20,boa,Google Play,,4
Please this app on my android phone,3,2024-11-20,boa,Google Play,app android phone,4
GOAT 🐐 🐐,5,2024-11-19,boa,Google Play,goat,4
"Your app doesn't match your bank, the app is disaster, super slow. Please learn something from tele birr app.",1,2024-11-19,boa,Google Play,app match bank app disaster super slow learn tele birr app,4
Fast and reliable,5,2024-11-18,boa,Google Play,fast reliable,4
"The worst app update ever. Why would you include the ""developer option off"" thing here? Why do you care? It is my phone my money, right? That is the reason why I switched to other banks. So either turn it off or everyone will discontinue their business one by one.",1,2024-11-17,boa,Google Play,bad app update include developer option thing care phone money right reason switch bank turn discontinue business,4
Very good,5,2024-11-14,boa,Google Play,good,3
One of the poorest mobile banking system,1,2024-11-13,boa,Google Play,poor mobile banking system,4
